Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
"Penobscot Community Health Center, Inc.",ME,Healthcare Provider,2798,5/26/2021,Hacking/IT Incident,Network Server,Yes
Rogue Community Health,OR,Healthcare Provider,847,5/25/2021,Hacking/IT Incident,Network Server,Yes
"20/20 Eye Care Network, Inc",FL,Business Associate,4142440,5/24/2021,Hacking/IT Incident,Network Server,Yes
"Laird Hospital, Inc.",MS,Healthcare Provider,1092,5/24/2021,Hacking/IT Incident,Network Server,Yes
Washoe Barton Medical Clinic d/b/a Carson Valley Medical Center,NV,Healthcare Provider,1115,5/24/2021,Hacking/IT Incident,Network Server,Yes
HC Watkins Memorial Hospital,MS,Healthcare Provider,634,5/21/2021,Hacking/IT Incident,Network Server,Yes
Massena Hospital,NY,Healthcare Provider,1897,5/21/2021,Hacking/IT Incident,Network Server,Yes
Scott Regional Hospital,MS,Healthcare Provider,1056,5/20/2021,Hacking/IT Incident,Network Server,Yes
Southwestern Indiana Regional Council on Aging,IN,Healthcare Provider,4250,5/19/2021,Hacking/IT Incident,Email,No
Community Health Choice Inc.,TX,Health Plan,2489,5/19/2021,Unauthorized Access/Disclosure,Paper/Films,Yes
"Bayhealth Medical Center, Inc.",DE,Healthcare Provider,565,5/18/2021,Hacking/IT Incident,Network Server,Yes
Trinity Health System - Twin City,OH,Healthcare Provider,9579,5/18/2021,Hacking/IT Incident,Network Server,Yes
San Diego Family Care,CA,Healthcare Provider,154513,5/18/2021,Hacking/IT Incident,Network Server,Yes
Good Health Medical dba MY DR NOW,AZ,Healthcare Provider,36781,5/17/2021,Hacking/IT Incident,Network Server,No
The Miriam Hospital,RI,Healthcare Provider,2999,5/17/2021,Unauthorized Access/Disclosure,Email,No
"CareSouth Carolina, Inc.",SC,Healthcare Provider,76035,5/14/2021,Hacking/IT Incident,Network Server,Yes
"InVue Security Products, Inc. Employee Group Health Plan",NC,Health Plan,1062,5/12/2021,Hacking/IT Incident,Network Server,No
"New England Dermatology and Laser Center, P.C.",MA,Healthcare Provider,58106,5/11/2021,Improper Disposal,Paper/Films,No
Master Equity Texas Limited Partnership,TX,Healthcare Clearing House,1962,5/11/2021,Unauthorized Access/Disclosure,Email,No
"Internal Medicine Associates of Jasper, PC, dba Prestige Medical Group ",GA,Healthcare Provider,34203,5/10/2021,Hacking/IT Incident,Network Server,No
SAC Health Systems,CA,Healthcare Provider,28128,5/10/2021,Hacking/IT Incident,Network Server,Yes
"Shands Teaching Hospitals and Clinics, Inc.",FL,Healthcare Provider,1562,5/7/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No
Exceltox Laboratories,CA,Healthcare Provider,4571,5/7/2021,Loss,Paper/Films,No
MidMichigan Health Services,MI,Healthcare Provider,2800,5/7/2021,Hacking/IT Incident,Network Server,Yes
"Charles Cole Memorial Hospital, d/b/a UPMC Cole",PA,Healthcare Provider,7376,5/7/2021,Hacking/IT Incident,Network Server,Yes
"Ascension - Our Lady of Lourdes Memorial Hospital Inc.,",NY,Healthcare Provider,1745,5/7/2021,Hacking/IT Incident,Network Server,Yes
St. Agnes Healthcare Inc.,MD,Healthcare Provider,2821,5/7/2021,Hacking/IT Incident,Network Server,Yes
Ascension Standish Hospital,MI,Healthcare Provider,1705,5/7/2021,Hacking/IT Incident,Network Server,Yes
Ascension St. Joseph Hospital,MI,Healthcare Provider,5807,5/7/2021,Hacking/IT Incident,Network Server,Yes
Serendipity Hearing Inc.,CA,Healthcare Provider,3100,5/6/2021,Theft,Desktop Computer,No
Brownsville Community Health Center dba New Horizon Medical Center,TX,Healthcare Provider,4258,5/6/2021,Hacking/IT Incident,Network Server,Yes
Tyler Family Circle of Care,TX,Healthcare Provider,1860,5/6/2021,Hacking/IT Incident,Network Server,Yes
SummaCare,OH,Health Plan,5532,5/6/2021,Unauthorized Access/Disclosure,Paper/Films,Yes
Monadnock Community Hospital,NH,Healthcare Provider,14340,5/4/2021,Hacking/IT Incident,Network Server,Yes
Arizona Asthma and Allergy Institute,AZ,Healthcare Provider,70372,5/3/2021,Hacking/IT Incident,Network Server,No
Minimed Distribution Corp,CA,Healthcare Provider,1658,4/30/2021,Unauthorized Access/Disclosure,"Electronic Medical Record, Email, Laptop, Other Portable Electronic Device",No
"LifeBridge Community Gastroenterology, LLC dba Woodholme Gastroenterology",MD,Healthcare Provider,66342,4/30/2021,Hacking/IT Incident,Network Server,No
Achievement Center of LECOM Health,PA,Healthcare Provider,1671,4/30/2021,Hacking/IT Incident,Email,No
Boston Children’s Hospital,MA,Healthcare Provider,506,4/29/2021,Hacking/IT Incident,Email,No
"Middletown Ventures Associates, LLC, d/b/a Middletown Medical Imaging",NJ,Healthcare Provider,29945,4/28/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
"Thrifty Drug Stores, Inc.",MN,Healthcare Provider,3958,4/28/2021,Hacking/IT Incident,Network Server,Yes
"SEES Group, LLC",TN,Healthcare Provider,3797,4/27/2021,Hacking/IT Incident,Email,No
Peak Vista Community Health Centers,CO,Healthcare Provider,3118,4/26/2021,Theft,Desktop Computer,No
Faxton St. Luke's Healthcare,NY,Healthcare Provider,17656,4/26/2021,Hacking/IT Incident,Network Server,Yes
Doctors Medical Center of Modesto,CA,Healthcare Provider,1259,4/23/2021,Unauthorized Access/Disclosure,Network Server,Yes
"Allergy Partners, PLLC",NC,Healthcare Provider,74083,4/23/2021,Hacking/IT Incident,Network Server,No
Jackson County Health Dept,IL,Healthcare Provider,800,4/23/2021,Unauthorized Access/Disclosure,Email,No
Gifford Health Care,VT,Healthcare Provider,6777,4/23/2021,Hacking/IT Incident,Network Server,Yes
Sapphire Community Health,MT,Healthcare Provider,3751,4/21/2021,Hacking/IT Incident,Network Server,No
Presbyterian Medical Services,NM,Healthcare Provider,536,4/21/2021,Loss,Paper/Films,No
Baptist Health Arkansas,AR,Healthcare Provider,16765,4/21/2021,Hacking/IT Incident,Network Server,Yes
All Access Ortho,HI,Healthcare Provider,25000,4/20/2021,Hacking/IT Incident,Network Server,No
Specialty Surgical Suites dba Minimally Invasive Surgery of Hawaii,HI,Healthcare Provider,1000,4/20/2021,Hacking/IT Incident,Network Server,No
Orthopedic Associates of Hawaii,HI,Healthcare Provider,138000,4/20/2021,Hacking/IT Incident,Network Server,No
Huggins Hospital ,NH,Healthcare Provider,3616,4/19/2021,Hacking/IT Incident,Network Server,Yes
"Virtua Health, Inc. ",NJ,Business Associate,2704,4/16/2021,Unauthorized Access/Disclosure,Paper/Films,Yes
Texas MedClinic,TX,Healthcare Provider,6638,4/16/2021,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
"ElderServe Health, Inc. dba RiverSpring Health Plans",NY,Health Plan,31195,4/16/2021,Hacking/IT Incident,Email,No
MailMyPrescriptions.com Pharmacy Corporation,FL,Healthcare Provider,24037,4/16/2021,Hacking/IT Incident,Email,No
North Country Hospital,VT,Healthcare Provider,1905,4/16/2021,Hacking/IT Incident,Network Server,Yes
Eastern Shore Rural Health System Inc.,VA,Healthcare Provider,23282,4/16/2021,Hacking/IT Incident,Network Server,Yes
"Unlimited Medical Services of Florida, LLC  DBA DNF Medical Centers",FL,Healthcare Provider,846,4/15/2021,Unauthorized Access/Disclosure,Other,No
Neighborhood Healthcare,CA,Healthcare Provider,45200,4/14/2021,Hacking/IT Incident,Network Server,Yes
Regence,OR,Health Plan,803,4/12/2021,Hacking/IT Incident,Email,Yes
Health Center Partners of Southern California,CA,Business Associate,337245,4/9/2021,Hacking/IT Incident,Network Server,Yes
Cadence Aerospace,CA,Health Plan,747,4/8/2021,Hacking/IT Incident,Network Server,No
University Health ,TX,Healthcare Provider,2704,4/8/2021,Unauthorized Access/Disclosure,Network Server,Yes
Harrington Physician Services,MA,Healthcare Provider,4393,4/8/2021,Unauthorized Access/Disclosure,Network Server,No
Maritz Holdings Inc.,MO,Health Plan,1298,4/6/2021,Unauthorized Access/Disclosure,Email,No
"Administrative Advantage, LLC",GA,Business Associate,4852,4/5/2021,Hacking/IT Incident,Email,Yes
Southern Orthopaedic Surgeons ,AL,Healthcare Provider,4983,4/5/2021,Hacking/IT Incident,Email,No
Bricker & Eckler LLP,OH,Business Associate,420532,4/2/2021,Hacking/IT Incident,Network Server,Yes
Squirrel Hill Health Center,PA,Healthcare Provider,23869,4/2/2021,Hacking/IT Incident,Network Server,No
Fort HealthCare Inc.,WI,Healthcare Provider,784,4/1/2021,Hacking/IT Incident,"Network Server, Other",Yes
Health Prime International ,MD,Business Associate,17562,3/31/2021,Hacking/IT Incident,Network Server,Yes
"Three Lower Counties Community Services, Inc. d/b/a Chesapeake Health Care",MD,Healthcare Provider,2505,3/31/2021,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Epilepsy Florida,FL,Healthcare Provider,1832,3/30/2021,Hacking/IT Incident,Network Server,Yes
"Proteus Molecular and Clinical Lab, LLC",AL,Healthcare Provider,728,3/29/2021,Unauthorized Access/Disclosure,Email,No
"BioTelemetry, Inc.",PA,Healthcare Provider,38575,3/26/2021,Hacking/IT Incident,Network Server,Yes
"Healthgrades Operating Company, Inc.",GA,Business Associate,35485,3/26/2021,Hacking/IT Incident,Email,Yes
Personal Touch Holding Corp.,NY,Business Associate,753107,3/26/2021,Hacking/IT Incident,Network Server,Yes
"Trusted Health Plans, Inc.",DC,Health Plan,200665,3/26/2021,Hacking/IT Incident,Network Server,No
Health Net of California,CA,Health Plan,550828,3/25/2021,Hacking/IT Incident,Network Server,Yes
Health Net Life Insurance Company,CA,Health Plan,30842,3/25/2021,Hacking/IT Incident,Network Server,Yes
Health Net Community Solutions,CA,Health Plan,688603,3/25/2021,Hacking/IT Incident,Network Server,Yes
CalViva Health,CA,Health Plan,15287,3/25/2021,Hacking/IT Incident,Network Server,Yes
California Health & Wellness,CA,Health Plan,80242,3/25/2021,Hacking/IT Incident,Network Server,Yes
"Solis Health Plans, Inc.",FL,Health Plan,2649,3/24/2021,Hacking/IT Incident,Network Server,Yes
VA Northern California Health Care System,CA,Healthcare Provider,645,3/24/2021,Unauthorized Access/Disclosure,Paper/Films,No
Dallas County Hospital District d/b/a Parkland Health & Hospital System,TX,Healthcare Provider,1566,3/23/2021,Unauthorized Access/Disclosure,Email,No
University of Miami,FL,Healthcare Provider,86000,3/23/2021,Hacking/IT Incident,Network Server,No
Reliant Rehabilitation,TX,Business Associate,614,3/22/2021,Hacking/IT Incident,Email,Yes
"River City Whole Health, Ltd.",MT,Healthcare Provider,2714,3/20/2021,Unauthorized Access/Disclosure,"Electronic Medical Record, Laptop, Paper/Films",No
Victor Community Support Services,CA,Business Associate,1634,3/19/2021,Theft,Other Portable Electronic Device,Yes
Insulet Corporation,MA,Healthcare Provider,9050,3/19/2021,Hacking/IT Incident,Network Server,Yes
SalusCare,FL,Healthcare Provider,85000,3/19/2021,Hacking/IT Incident,Email,No
Total Life Healthcare,AR,Healthcare Provider,528,3/19/2021,Hacking/IT Incident,Network Server,Yes
Brandman Centers for Senior Care,CA,Health Plan,521,3/18/2021,Hacking/IT Incident,Network Server,Yes
Villa of Hope,NY,Healthcare Provider,2410,3/18/2021,Hacking/IT Incident,Network Server,No
West Virginia Senior Advantage,WV,Health Plan,1049,3/18/2021,Hacking/IT Incident,Network Server,Yes
Stavros Center for Independent Living Inc.,MA,Healthcare Provider,2347,3/18/2021,Unauthorized Access/Disclosure,Other,No
California Department of State Hospitals,CA,Healthcare Provider,5014,3/17/2021,Unauthorized Access/Disclosure,Network Server,No
"Sleep Medicine Associates of Texas, P.A.",TX,Healthcare Provider,994,3/17/2021,Unauthorized Access/Disclosure,Paper/Films,No
"Hoyman Hong, M.D.",CA,Healthcare Provider,720,3/17/2021,Unauthorized Access/Disclosure,Email,No
VNA Home Health and Hospice,MO,Healthcare Provider,517,3/17/2021,Unauthorized Access/Disclosure,Email,No
North Oaks Health System,LA,Healthcare Provider,642,3/16/2021,Hacking/IT Incident,Network Server,Yes
"Colorado Retina Associates, P.C.",CO,Healthcare Provider,26609,3/12/2021,Hacking/IT Incident,Email,No
Walworth County Department of Health and Human Services,WI,Healthcare Provider,907,3/12/2021,Unauthorized Access/Disclosure,Email,No
"Sandhills Medical Foundation, Inc.",SC,Healthcare Provider,39602,3/12/2021,Hacking/IT Incident,Network Server,Yes
Assistcare Home Health Services LLC dba Preferred Home Care of NY/Preferred Gold,NY,Healthcare Provider,57345,3/10/2021,Hacking/IT Incident,Network Server,No
"The New London Hospital Association, Inc.",NH,Healthcare Provider,34878,3/9/2021,Hacking/IT Incident,Network Server,No
Miracle-Ear,CA,Healthcare Provider,500,3/5/2021,Theft,Paper/Films,No
Walmart Inc.,AR,Healthcare Provider,2071,3/5/2021,Hacking/IT Incident,Network Server,Yes
Woodcreek Provider Services LLC,WA,Business Associate,233199,3/5/2021,Hacking/IT Incident,Network Server,Yes
"Mendelson Kornblum Orthopedics, Spine & Pain Specialists",MI,Healthcare Provider,28658,3/5/2021,Hacking/IT Incident,Network Server,No
"University of Pittsburgh Medical Center, St. Margaret Hospital (“UPMC St. Margaret”)",PA,Healthcare Provider,11135,3/5/2021,Unauthorized Access/Disclosure,Other,No
"ProPath Services, LLC",TX,Healthcare Provider,39213,3/4/2021,Hacking/IT Incident,Email,No
Saint Alphonsus Health System,ID,Healthcare Provider,134906,3/4/2021,Hacking/IT Incident,Email,No
Trillium Community Health Plan,OR,Health Plan,87761,3/3/2021,Hacking/IT Incident,Network Server,Yes
Arizona Complete Health,AZ,Health Plan,34978,3/2/2021,Hacking/IT Incident,Network Server,Yes
"Liberation Programs, Inc",CT,Healthcare Provider,7406,3/2/2021,Hacking/IT Incident,Electronic Medical Record,No
"Metro Presort, Inc. ",OR,Business Associate,38387,3/1/2021,Hacking/IT Incident,Network Server,Yes
The SurgiCare Center of Utah,UT,Healthcare Provider,8816,2/26/2021,Hacking/IT Incident,Network Server,No
"AllyAlign Health, Inc.",VA,Health Plan,33932,2/26/2021,Hacking/IT Incident,Network Server,No
Santa Rosa Community Health Centers,CA,Healthcare Provider,5983,2/26/2021,Hacking/IT Incident,Email,No
Clovis Community Medical Center,CA,Healthcare Provider,994,2/26/2021,Unauthorized Access/Disclosure,Email,No
"Volunteer State Health Plan, Inc. d/b/a BlueCare Tennessee",TN,Business Associate,1435,2/26/2021,Unauthorized Access/Disclosure,Other,Yes
Summit Behavioral Healthcare,TN,Healthcare Provider,70822,2/26/2021,Unauthorized Access/Disclosure,Email,No
"Cornerstone Care, Inc.",PA,Healthcare Provider,12081,2/25/2021,Hacking/IT Incident,Email,No
New Directions Youth & Family Services,NY,Healthcare Provider,941,2/24/2021,Hacking/IT Incident,Network Server,Yes
Campbell County Hospital District,WY,Healthcare Provider,900,2/24/2021,Unauthorized Access/Disclosure,Email,No
"Kaiser Foundation Hospitals, Northern California",CA,Healthcare Provider,2121,2/23/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No
Orlando Health South Lake Hospital ,FL,Healthcare Provider,1673,2/23/2021,Loss,Paper/Films,No
Jacobson Memorial Hospital Care Center,ND,Healthcare Provider,1545,2/23/2021,Hacking/IT Incident,Email,No
Humana Inc,KY,Health Plan,64654,2/22/2021,Unauthorized Access/Disclosure,Network Server,Yes
"Southeastern Minnesota Center for Independent Living, Inc.",MN,Healthcare Provider,4122,2/19/2021,Hacking/IT Incident,Email,No
Miracle - Ear,CA,Healthcare Provider,1094,2/19/2021,Theft,Paper/Films,No
Miracle - Ear,CA,Healthcare Provider,2710,2/19/2021,Theft,Paper/Films,No
Project Vida Health Center,TX,Healthcare Provider,4500,2/19/2021,Hacking/IT Incident,Network Server,No
Steward West Division – AR/LA/TX ACE,TX,Healthcare Provider,877,2/16/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Bowling Green Inn of Pensacola, LLC  DBA Twelve Oaks Recovery",FL,Healthcare Provider,9023,2/12/2021,Hacking/IT Incident,Network Server,No
Grand River Medical Group,IA,Healthcare Provider,37423,2/12/2021,Hacking/IT Incident,Email,No
Pitkin County,CO,Healthcare Provider,1454,2/9/2021,Unauthorized Access/Disclosure,Network Server,No
Piedmont Health Services ,NC,Healthcare Provider,674,2/9/2021,Hacking/IT Incident,Network Server,Yes
Pennsylvania Adult & Teen Challenge ,PA,Healthcare Provider,7771,2/9/2021,Hacking/IT Incident,Email,No
HARVARD EYE ASSOCIATES,CA,Business Associate,29982,2/8/2021,Hacking/IT Incident,Network Server,Yes
Hackley Community Care Center,MI,Healthcare Provider,2644,2/8/2021,Hacking/IT Incident,Email,No
"Nevada Health Centers, Inc.",NV,Healthcare Provider,7937,2/5/2021,Hacking/IT Incident,Email,No
The University of Pittsburgh Medical Center,PA,Healthcare Provider,36086,2/5/2021,Hacking/IT Incident,Email,Yes
UT Southwestern Medical Center,TX,Healthcare Provider,3640,2/5/2021,Unauthorized Access/Disclosure,Other,No
University of Pittsburgh Medical Center Health Plan ,PA,Health Plan,18900,2/5/2021,Hacking/IT Incident,Email,No
Fairfax County Public Schools' Health Plan,VA,Business Associate,11056,2/2/2021,Hacking/IT Incident,Email,Yes
Nevada Orthopedic & Spine Center,NV,Healthcare Provider,50000,2/1/2021,Hacking/IT Incident,Network Server,Yes
Lake Charles Memorial Health System,LA,Healthcare Provider,3802,2/1/2021,Hacking/IT Incident,Email,Yes
"The House Next Door, Inc.",FL,Healthcare Provider,6000,2/1/2021,Hacking/IT Incident,Email,No
Florida Healthy Kids Corporation,FL,Health Plan,3500000,1/29/2021,Hacking/IT Incident,Network Server,Yes
Bethesda Hospital ,FL,Healthcare Provider,18477,1/29/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No
Leonard J. Chabert Medical Center,LA,Healthcare Provider,2254,1/29/2021,Hacking/IT Incident,Email,Yes
A Renewed Mind,OH,Healthcare Provider,2428,1/29/2021,Hacking/IT Incident,Email,No
County of Ramsey,MN,Healthcare Provider,8687,1/29/2021,Hacking/IT Incident,Network Server,Yes
"Prime Therapeutics, LLC",MN,Business Associate,1863,1/28/2021,Unauthorized Access/Disclosure,Paper/Films,Yes
Florida Hospital Physician Group Inc.,FL,Healthcare Provider,13759,1/22/2021,Hacking/IT Incident,Electronic Medical Record,No
Public Education Employees' Health Insurance Plan d/b/a PEEHIP,AL,Health Plan,1248,1/22/2021,Unauthorized Access/Disclosure,Paper/Films,No
"Lynn Community Health, Incorporated",MA,Healthcare Provider,1800,1/22/2021,Hacking/IT Incident,Email,No
